dataset,model,train_accuracy,val_accuracy,test_accuracy,train_f1,val_f1,test_f1
Wafer,ResNet,1.0,1.0,0.9925373196601868,1.0,1.0,0.9924245476722717
Wafer,InceptionTime,1.0,1.0,0.9982154369354248,1.0,1.0,0.9982137084007263
FordA,ResNet,0.9989583492279053,0.930651843547821,0.9371212124824524,0.9989582896232605,0.9305901527404785,0.9371046423912048
FordA,InceptionTime,1.0,0.9445214867591858,0.9522727131843567,1.0,0.9445116519927979,0.9522830843925476
FordB,ResNet,1.0,0.9299450516700745,0.8037037253379822,1.0,0.9298834800720215,0.8037058115005493
FordB,InceptionTime,0.9965612292289734,0.9381868243217468,0.8493826985359192,0.9965609312057495,0.9381211996078491,0.8492752313613892
ElectricDevices,ResNet,0.9806722402572632,0.9126539826393127,0.7157307863235474,0.980842113494873,0.9126666188240051,0.7005045413970947
ElectricDevices,InceptionTime,0.9873949289321899,0.8952967524528503,0.702373206615448,0.9875113368034363,0.8955908417701721,0.6894320249557495
