Model,,ResNet,ResNet,ResNet,ResNet,ResNet,InceptionTime,InceptionTime,InceptionTime,InceptionTime,InceptionTime
Attribution,,GR,IG,SG,GS,FO,GR,IG,SG,GS,FO
Dataset,Perturbation,,,,,,,,,,
FordA,-2,-0.022957077498553632,-0.03486805625260936,-0.0041022399116537175,-0.033950488783713456,-0.04203943972208404,-0.007849255992956383,-0.03867453983186387,0.004305909077089001,-0.021158850706227302,-0.041643452817490885
FordA,-1.5,-0.0333326956054649,-0.04728755543776053,-0.005984968057772959,-0.04721703512824114,-0.04799874000417121,-0.01314939770600774,-0.05038613568696345,0.00928853884156703,-0.028641333947785935,-0.053425402998678526
FordA,-1,-0.04945556938554053,-0.05156658584342226,-0.006507642964725079,-0.05332739554653677,-0.04365622055688091,-0.026377553694604858,-0.04628230836374163,0.020488363503377797,-0.027714815935114667,-0.04616123011762216
FordA,-0.5,-0.06463563597841114,-0.0054906183218270945,0.0031577473049493082,-0.008028184391871005,0.004843718611419031,-0.06655241536211412,0.024651751343175685,0.04362635286785951,0.01741671988469522,0.015995106123390633
FordA,0,-0.04117093604692,0.07452665346351937,0.025441821781020876,0.07178026490941619,0.12998832285639292,-0.09618946264773506,0.17321008576638344,0.05053543639726292,0.14892700453880633,0.2048899875869399
FordA,0.5,-0.01621253089103284,0.11046117549520887,0.03168898551692708,0.10189464646858691,0.23417229946865872,-0.019213155461872813,0.19399656736310267,0.02572875470782842,0.15307343254031835,0.2758504487163396
FordA,1,-0.006471894743768305,0.06351850787773984,0.022454966529063248,0.05681468803887327,0.1010059165375413,-0.004430650323228087,0.11809278697612172,0.012803642411273509,0.08620654133813624,0.1553457943203848
FordA,1.5,-0.00472917263184782,0.028221466116809698,0.013909553223844143,0.026504606752663352,0.03423451943077204,-0.002249937257250614,0.05935293568277749,0.005849308430360336,0.04315354237700448,0.06865357667916534
FordA,2,-0.004876765390571141,0.014291278789720972,0.008962911092490089,0.014369055622536191,0.014820097182765895,-0.0021486263005899816,0.029189613772760897,0.0024016393959295666,0.021493889038547903,0.030468267556283426
FordB,-2,-0.005505186652717652,-0.020983310060673725,0.006012341927614146,-0.022785665336587792,-0.008026575880364248,-0.002530920768157405,-0.02463650402828942,0.0009089476122160898,-0.021552660081157145,-0.030954236088242448
FordB,-1.5,-0.008713847186955725,-0.024787652300278545,0.008870299230913986,-0.02893645592025594,-0.009681938970457491,-0.004308146811052677,-0.03266443490241991,-0.0014825545677956326,-0.029304937160317207,-0.04130844177791838
FordB,-1,-0.013027023890705512,-0.01821058883339109,0.012200555094988566,-0.023498687706458778,-0.004958341490200702,-0.00968840722593969,-0.034180249886793454,-0.009216423399966955,-0.03159124068786574,-0.04218000198769451
FordB,-0.5,-0.020022856229010396,0.0031860401610786216,0.013999415612193313,-0.00014195492457821045,0.012138038431006916,-0.02682094655358779,-0.00821965882006984,-0.03307199244161357,-0.009898788313865304,-0.010759823059403678
FordB,0,-0.022866928647278958,0.03971704338294341,0.00769948368303863,0.03136981456808488,0.058255727208341754,-0.07166565071072398,0.09138594517692987,-0.06947294978940009,0.08128832708739903,0.10346024889935267
FordB,0.5,-0.012135798147440667,0.055426884052593,3.517047748933679e-05,0.046914298084775596,0.10124019273358448,-0.040258409586817256,0.1791060596423573,-0.0070926578067207185,0.1587787852728921,0.2558518740182374
FordB,1,-0.002303595485069278,0.023440528167627445,-0.0015860958345560205,0.02117282591067252,0.03525920506723902,-0.029197720576059797,0.1368923275277652,0.01313167281037048,0.11352370542893576,0.1933819890020375
FordB,1.5,-0.00047662239020765216,0.007921864419997074,-0.0010596807495181282,0.007836338306058893,0.010215224395095517,-0.024563352517040754,0.07921601652998782,0.01204847554529781,0.06042442104573869,0.10327293195985429
FordB,2,-0.00036791097066036534,0.0025271792976659397,-0.0005111374754341028,0.00273519533752384,0.003409797577240608,-0.017169749454781207,0.03626565681247787,0.008082671219705764,0.024718803917158992,0.04254604745472532
Wafer,-2,-0.018098570750361937,-0.026813388346047257,0.007160964130896364,-0.02656153089254352,-0.06302218556415069,0.01645857393116741,-0.05766015681880477,0.09742588468238828,-0.0768862003317227,-0.18520202652406206
Wafer,-1.5,-0.04170431621734849,-0.08209899091942699,0.0065197905549442,-0.09541854491782745,-0.13922879464656204,0.017914261797154142,-0.08311194690968617,0.11215432448407021,-0.12333484678062231,-0.20819529169817136
Wafer,-1,-0.08210609654737029,-0.09641489296393121,0.0066977907323273805,-0.11808333972528322,-0.13781570051036768,0.011165877362087517,-0.10670944847682497,0.12562680577315938,-0.14715054080632092,-0.16066105026765118
Wafer,-0.5,-0.062236045761728365,-0.021742478002181317,0.025367451431565675,-0.03178366231938196,-0.019119042529357897,0.019030309738579766,-0.07270457458826558,0.09334064409804227,-0.08802993184457546,0.02023289878043063
Wafer,0,-0.018516654200910063,0.06381640383475891,0.0453993935157023,0.04950579362438318,0.13751504932456846,0.024169988148127288,0.07927898510962317,0.04358472834884849,0.05022096517073656,0.27810853846346406
Wafer,0.5,0.017077040077227337,0.13847888541270373,0.0594879346615902,0.09675305446158808,0.3388483018150497,0.0075736613495408335,0.2655461809222532,0.015545961514429182,0.21791026227809776,0.397599109009334
Wafer,1,0.026319439040959618,0.1272896555733226,0.058990556180713465,0.08278134041867571,0.3197548022730232,-0.0047798043276143076,0.21808765989512927,0.03203198477286953,0.16863402129339947,0.4077546114511431
Wafer,1.5,0.034807577357059166,0.11665785900994298,0.05959632464306768,0.07828402522629176,0.2585251872965222,0.005627614669419545,0.10685230751697766,0.06310337395132001,0.06820460811188694,0.25164418075587985
