Model,,ResNet,ResNet,ResNet,ResNet,ResNet,InceptionTime,InceptionTime,InceptionTime,InceptionTime,InceptionTime
Attribution,,GR,IG,SG,GS,FO,GR,IG,SG,GS,FO
Dataset,Perturbation,,,,,,,,,,
FordA,Gauss,-0.011375167680254119,0.0025148695132527765,0.0009147833276302482,-0.07795313726114196,0.0031998865131296905,-0.00807001216567376,0.0010860682781168862,-6.022326863398819e-05,-0.048835876571112026,0.0017220504488049682
FordA,Inv,-0.004584978888393368,0.000401980594855,0.00023088342591017896,0.00035589646133080653,0.0006192928099843838,-0.007290895868155111,8.551763987086486e-05,-7.077569329693909e-05,2.3391063947778706e-05,0.00017591621048313952
FordA,Opp,-0.05336442619340907,0.0011597710129797913,0.0002044366441051864,0.0010005641114661824,0.001491790760145148,-0.10427015452146386,9.072060658812248e-05,-9.62428870128311e-05,9.43171982066282e-05,0.0003025545431080065
FordA,SubMean,-0.08221302346907806,0.003100543326955682,0.0003676300429729419,0.001978754785516082,0.005399684963082255,-0.1883821193364075,0.00035185112271957086,0.0006260387873997936,0.00012467268115654018,-0.00021165722867694248
FordA,Unif,-0.024589093227058184,0.00012903380897867286,2.6493785888502108e-05,0.00024692397935023765,0.00037618337693599846,-0.027587598638753163,-8.109050780662208e-05,-0.00028034505552085656,0.00022433163448084062,-8.337880576848172e-06
FordA,Zero,-0.08199899078886547,0.003111834225088067,0.0005731404537246097,0.0020782224161000895,0.0052013882502811165,-0.19663543754244672,0.000144832080206575,0.0006841318581155484,-2.7271239998988284e-05,-0.0005821050634277902
FordB,Gauss,-0.003911512970405863,0.003019234294755112,-0.003269196310416811,-0.04901377046749028,0.005585256727863454,-0.06755329213755126,0.014551609175655497,0.008531422017288424,-0.045800649914396224,0.025994266680675365
FordB,Inv,-0.0008197639987257763,0.00015061863544669823,-0.0008319084968042111,0.00024479088224400544,0.00021447384553329894,-0.012817481197713304,0.002786598518262344,0.0014743784686100866,0.001554871879831287,0.003498635933209499
FordB,Opp,-0.02277707840210741,0.003028030058021984,0.0005120674131094197,0.00229321786689244,0.004188813434689874,-0.0911493591117747,0.004321392916524499,-0.04145553520106191,0.004375395728668827,0.005113232583531271
FordB,SubMean,-0.043607645538393316,0.006340168089492684,0.00029556072101860793,0.004918218172708332,0.009944076597522243,-0.15775939442326486,0.012599494255394639,-0.13424261209921004,0.014398373246019378,0.01404285401713272
FordB,Unif,-0.006791544921569036,0.0006834812720237057,0.00034700121044472804,0.0007762064383868865,0.0012213309821893434,-0.016657766318451738,0.001270617723831204,0.0011740990769845568,0.0012515038430385046,0.0005492760129955278
FordB,Zero,-0.04395388093688953,0.006295696063966752,0.00048796882208189656,0.005113657063955095,0.00954755313166035,-0.15859093619168746,0.0132231418062677,-0.1337888911110629,0.014951864764268671,0.015152325231934494
Wafer,Gauss,-0.14948802766187044,-0.2138566775023833,0.0010374966054609597,0.0028519804441884677,-0.36655320499337324,0.0032641008377704214,-0.2008301561753527,-0.004458163830434667,0.03300400418487531,-0.4194707932288064
Wafer,Inv,0.008035131312795332,0.0031371874935964272,-0.00018650413548889494,0.0017684578821077698,0.0023019143308309897,-0.026477521852268787,0.0007585590933835568,-0.011852523454194124,0.008179896512406387,0.009452831166108289
Wafer,Opp,-0.04182398956349413,0.0018364762611110894,-0.0008042677787504504,0.002703897215540138,0.002806771328838484,-0.021141515938767223,0.0017904538898597597,-0.010625591500963427,0.010444621735309342,0.008111814917089455
Wafer,SubMean,0.033532590601239934,0.018406035902672646,-0.005193821767203663,0.036610825237023775,0.03796432099152758,0.014233666208607179,0.04794907130576943,-0.00015255194755247128,0.017756623307495917,0.028288064419671348
Wafer,Unif,-0.020132396725280218,0.0014511171456695528,0.0014032502120999713,0.001807857709666759,0.0009770757801344232,0.0017660703475026115,0.001876579952333441,-0.014396065155585211,0.007917534286269363,0.007913696102714335
Wafer,Zero,-0.04723130994295001,0.006798917636426108,-0.001242472394561718,0.010761516723368711,0.013254366710073365,0.01230563079514669,0.008982246875193237,-0.022558550788958222,0.03626976434255787,0.01587016872690855
ElectricDevices,Gauss,-0.03914770753275221,-0.03631365163924554,-0.019715862368924912,-0.02906737333693354,-0.04386559380837073,0.011485000732730347,-0.014633025635053531,0.044758161038235274,0.027438945198562797,-0.09116310367098238
ElectricDevices,Inv,-0.02401359188579591,0.011617435500690262,0.04701440193533936,0.00863875316367018,0.025124676445612427,-0.08196272872597427,0.018463914250280183,-0.04545461969519499,0.02677112484853182,-0.035714627190800055
ElectricDevices,Opp,-0.029390314458456572,0.10371969806825375,0.001182728971002224,0.09626535597045224,0.15621488015730417,0.03907096124257512,0.1403136597184616,0.04089578557975382,0.11585553496719381,0.12211354304745006
ElectricDevices,SubMean,0.0780915659127592,0.13046693292789768,0.14100203480012136,0.13605195130144015,0.2187107818349739,0.07472165654291317,0.15115958014643066,0.08077955682442518,0.13406694098228109,0.22901301115363695
ElectricDevices,Unif,0.025740456036069795,0.03095307037078429,-0.0030674364011659613,0.019826596974215224,0.08225267978411649,-0.004386124789600612,0.05543922428871614,0.025561401336969828,0.04102891703379648,0.022092790931306158
ElectricDevices,Zero,-0.009572633914979464,0.08938262356297749,0.03148708198353015,0.06316269877098354,0.22649410590528885,0.05268481726630787,0.11773076473178112,0.03808441721768678,0.1036354359627099,0.16158188124591222
